Class,Precision,Recall,F1-Score,Support,P-R-F1 Diff
healthy,0.75,0.24,0.36363636363636365,25,0.51
leaf_die_back,0.6381578947368421,1.0,0.7791164658634538,97,0.36184210526315785
not_cocount,0.9565217391304348,0.5238095238095238,0.676923076923077,84,0.432712215320911
