Class,Precision,Recall,F1-Score,Support,P-R-F1 Max Diff
Leaf Rot,0.7014218009478673,0.8862275449101796,0.783068783068783,167,0.1848057439623123
Leaf_Spot,0.616600790513834,0.9570552147239264,0.75,163,0.3404544242100924
healthy,0.68,0.22077922077922077,0.3333333333333333,77,0.4592207792207793
not_cocount,0.9798850574712644,0.7930232558139535,0.8766066838046273,430,0.18686180165731092
