Class,Precision,Recall,F1-Score,Support,P-R-F1 Diff
healthy,0.6097560975609756,1.0,0.7575757575757576,25.0,0.3902439024390244
leaf_die_back,1.0,0.845360824742268,0.9162011173184358,97.0,0.15463917525773196
not_cocount,1.0,0.9880952380952381,0.9940119760479041,84.0,0.011904761904761862
